Scenario;b24000;maxQ_14199_maxV_28.8_year_3345;maxQ_14210_maxV_18.1_year_2288;maxQ_14256_maxV_11.5_year_3236;maxQ_14434_maxV_14.1_year_3126;maxQ_14450_maxV_23.4_year_3048;maxQ_14567_maxV_18.9_year_7445;maxQ_14594_maxV_23.3_year_9987;maxQ_14756_maxV_14.5_year_7191;maxQ_14808_maxV_23.1_year_9093;maxQ_14848_maxV_23.6_year_7451;maxQ_14995_maxV_16.0_year_9555;maxQ_15047_maxV_19.1_year_3884;maxQ_15162_maxV_16.9_year_2826;maxQ_15199_maxV_28.2_year_5313;maxQ_15333_maxV_27.9_year_3710;maxQ_15408_maxV_22.6_year_9875;maxQ_15494_maxV_26.5_year_8336;maxQ_15579_maxV_18.8_year_2831;maxQ_15690_maxV_25.2_year_2944;maxQ_15769_maxV_17.6_year_2168;maxQ_15936_maxV_18.6_year_8232;maxQ_16210_maxV_23.0_year_3284;maxQ_16252_maxV_16.7_year_3423;maxQ_16499_maxV_22.5_year_6390;maxQ_16537_maxV_25.4_year_8516;maxQ_16656_maxV_16.8_year_6253;maxQ_16675_maxV_27.6_year_7706;maxQ_16808_maxV_19.1_year_9324;maxQ_16872_maxV_27.6_year_4891;maxQ_16957_maxV_18.7_year_3236;maxQ_17066_maxV_34.8_year_7593;maxQ_17075_maxV_21.0_year_9681;maxQ_17176_maxV_38.4_year_2560;maxQ_17271_maxV_22.3_year_8813;maxQ_17332_maxV_27.1_year_8632;maxQ_17415_maxV_16.6_year_6576;maxQ_17456_maxV_24.8_year_3843;maxQ_17523_maxV_21.0_year_5296;maxQ_17576_maxV_26.9_year_6510;maxQ_18567_maxV_30.2_year_3147;maxQ_18802_maxV_21.1_year_8276;maxQ_18861_maxV_25.7_year_9470;maxQ_19050_maxV_26.9_year_3672;maxQ_20495_maxV_21.6_year_7971;maxQ_21124_maxV_26.2_year_9605;s14000;s16000;s18000;s20000;s30000
Sum20;16478.35742;14385.28613;14553.67285;12683.98828;13414.32129;13452.02148;13572.51465;14423.67578;13201.03809;14064.35156;14133.44336;14325.39844;14267.17285;13243.96875;14556.66406;14562.12305;14465.63965;14473.67578;14757.2832;14898.59375;14349.5625;14101.94922;14808.80566;14375.00195;14809.36133;14625.76563;14332.09375;15442.1709;14789.625;14511.80078;14635.1748;16167.22363;14558.43652;15057.71777;14421.43359;15097.83203;14603.90332;14796.49121;14660.62207;14752.70117;16195.12305;15358.64746;15973.98047;15787.87598;14890.60742;14861.45996;13167.59277;14111.73535;14941.9541;16176.7666;16603.54297
Sum21;19114.23242;15555.34277;16453.90625;13966.46777;15482.75977;15151.27441;15498.65625;16015.43164;15257.84961;15271.78906;15533.71387;16152.67969;16275.66113;15196.73438;16134.77539;16147.00293;16007.74316;16050.64355;16762.83398;16850.69922;15938.58789;15677.04492;16725.55664;16245.3252;16706.22656;16326.62988;16211.43945;16902.20508;16905.39453;16088.71387;16676.22852;17238.54297;16476.47656;16904.21094;16311.56152;17463.92969;16631.94727;16676.26563;16552.35938;16874.25977;17881.6875;17618.83594;18075.24023;17488.51172;17196.80469;17273.12109;14810.07422;15743.85547;17261.30664;18088.60352;19329.31055
Sum22;18158.13281;15351.22949;16016.20117;13831.0166;14903.23535;14616.2666;14854.59473;15567.62598;14615.54297;14894.69922;15146.65918;15745.66699;15756.66895;14566.4082;15748.58105;15772.57813;15694.84473;15634.36035;16288.56738;16352.65137;15514.73926;15239.52539;16243.2959;15759.27832;16216.85645;15874.31152;15703.23926;16642.72656;16346.52148;15853.10742;16225.06543;17007.10742;16099.07813;16503.64258;15802.9668;17088.83789;16155.72363;16353.80762;16128.80078;16527.9707;17330.02734;17155.13086;17418.39648;17159.56055;16856.83203;16919.76367;14437.94531;15292.04883;16869.73828;17387.57813;18330.37109
Sum23;18406.06641;15223.36719;15708.69824;13818.10547;14791.25391;14544.30176;14731.21582;15293.57813;14479.49316;14666.10254;14922.55371;15437.91797;15510.09668;14428.67383;15417.80469;15453.38086;15374.05957;15419.98242;15983.8877;16034.53516;15213.78027;14934.39551;15918.98828;15447.06641;15937.61719;15627.14648;15458.80469;16387.53516;16057.33008;15588.83398;15911.11426;16842.58984;15791.29297;16400.14844;15521.58789;16884.63672;15776.40918;16147.78906;15830.85547;16314.09277;16983.9375;16826.35547;17120.67578;16813.71875;16612.67188;16540.79883;14441.54492;14983.8877;16636.81055;17099.6582;18649.7832
Sum24;17549.57813;14705.01367;15053.38086;13161.45508;14082.87402;14025.5332;14198.74512;14819.41504;13932.78809;14179.50684;14379.9375;14802.31348;14906.14355;13903.83691;14908.14844;14898.38184;14798.93262;15148.03125;15393.93848;15611.02051;14653.7207;14371.20801;15595.60645;14971.08301;15519.00098;15363.31641;14856.58789;15712.21973;15533.25391;15254.38574;15441.30957;16003.99805;15379.18945;15684.74414;15188.18848;15986.9873;15395.32129;15553.69043;15424.02832;15593.99609;16265.42383;15905.80566;16127.87598;15955.93359;15725.6123;15714.36621;13806.84277;14449.79102;15748.22559;16458.70898;17724.48438
Sum25;18149.69336;15520.36719;16343.6084;13941.36328;15422.14844;15095.16797;15392.94336;15891.06543;15151.10547;15171.51855;15472.20313;16097.23145;16186.9707;15078.77051;16184.57813;16153.59863;16026.87012;16150.43262;16829.21094;16950.55664;15940.98828;15730.42578;16837.45508;16362.4873;16826.77734;16436.23633;16324.32129;16967.69531;17010.57813;16181.57129;16787.87305;17332.86914;16540.23242;16955.0625;16323.20703;17550.97266;16688.14844;16758.71484;16576.95313;16909.91211;17527.14844;17533.17773;17559.16406;17513.58008;17301.08594;17382.9668;14791.77832;15771.13574;17383.3418;17507.54297;18630.78125
Sum26;18181.83008;15558.62207;16513.96094;13987.42578;15517.97559;15165.21191;15551.4502;16126.83984;15317.16504;15318.45898;15570.20508;16256.63379;16327.0293;15254.68457;16276.27148;16232.8291;16124.49805;16284.76563;16963.75586;17095.96094;16091.40234;15870.69238;17060.125;16562.50391;17053.60352;16671.95313;16534.76367;17224.26172;17229.82617;16374.125;16994.06055;17482.99609;16753.11914;17174.70898;16539.9043;17704.58008;16930.12109;17002.22266;16824.68164;17153.43164;17927.86914;17772.32227;18061.85547;17670.3125;17515.07227;17511.9043;14822.125;15923.18066;17609.93164;18034.86914;18824.16406
Sum27;17242.80078;14449.05859;14711.64844;12827.24609;13731.30859;13619.54199;13820.22559;14418.19043;13499.79199;13898.36523;14123.67285;14444.63574;14524.1875;13513.96289;15072.64453;14976.32617;14804.72656;14975.20117;15318.08301;15436.07227;14672.52734;14412.5791;15344.28711;14838.23242;15297.64746;15095.50098;14760.24121;15494.03809;15305.74902;15043.51074;15162.09375;16412.875;15112.29004;15476.97852;14916.5127;15778.26465;15103.7832;15350.2998;15197.52637;15340.46484;16527.27734;15628.69141;15915.77637;15695.80566;15471.6377;15444.82617;13483.31055;14168.58398;15525.47559;16540.83594;17383.90625
Sum28;16043.59863;14444.24219;14569.74023;12696.40527;13480.39258;13621.52832;13688.74805;14537.16406;13254.86328;14149.02637;14092.59863;14256.20508;14271.81543;13341.39551;14615.08105;14635.14453;14580.2334;14544.16895;14801.19727;14928.02637;14396.77344;14182.34375;14828.13379;14461.00684;14835.06445;14679.37402;14415.64355;15521.61523;14812.86328;14573.70605;14669.57813;15736.25;14609.3418;15056.79102;14482.06738;15111.75879;14649.1748;14782.74414;14692.81836;14762.01074;15828.64453;15462.28906;15671.05176;15609.85547;14893.64844;14878.3623;13177.53223;14003.62109;14904.04102;15799.74902;16146.67285
Sum29;17946.05078;14906.2627;15287.00488;13431.95898;14333.73535;14146.7002;14445.41406;15015.77051;14138.33789;14391.14648;14603.69531;15000.56445;15127.37012;14132.77441;15143.82129;15153.9541;15022.56934;15013.95313;15644.5459;15657.4082;14858.09473;14564.69238;15930.96289;15204.19141;15702.64258;15493.47461;15163.81738;16249.95313;15759.36523;15645.24219;15819.41504;16530.98047;15816.80957;16195.48828;15449.65332;16607.66797;15687.91113;16066.09863;15824.3252;16143.49902;16704.96094;16536.07227;16795.77539;16563.08594;16302.54297;16287.48633;13994.49023;14678.55859;16342.60547;16774.62891;18051.69531
