HYD_YEAR,Q
2580,4110.44
2581,5023.43
2582,7120.94
2583,2757.46
2584,3976.57
2585,4866.3
2586,8805.33
2587,3217.61
2588,8911.13
2589,12328.02
2590,5478.51
2591,5001.31
2592,9745.96
2593,4666.68
2594,5117.91
2595,7808.97
2596,4357.41
2597,4227.45
2598,5507.37
2599,4854.13
2600,5161.44
2601,7683.18
2602,2729.99
2603,5547.87
2604,2677.05
2605,1991.9
2606,6545.3
2607,5172.4
2608,4662.54
2609,10038.44
2610,7477.59
2611,4446.58
2612,5071.03
2613,2814.42
2614,6052.43
2615,7598.08
2616,8889.34
2617,5616.96
2618,8103.0
2619,4539.46
2620,4009.45
2621,7249.18
2622,8658.62
2623,6186.33
2624,3380.61
2625,4083.95
2626,6061.46
2627,7221.42
2628,6914.15
2629,4709.14
2630,8188.32
2631,2219.83
2632,4542.39
2633,6354.75
2634,5460.99
2635,9385.2
2636,5911.45
2637,16958.32
2638,7580.74
2639,5620.04
2640,7608.51
2641,3990.85
2642,5432.3
2643,4821.93
2644,14380.97
2645,3842.01
2646,6386.16
2647,6587.58
2648,6494.47
2649,4235.12
2650,12374.78
2651,9517.3
2652,5528.54
2653,4987.72
2654,3939.81
2655,9184.96
2656,7649.92
2657,2291.78
2658,5574.99
2659,12453.3
2660,5605.15
2661,4372.73
2662,4220.21
2663,6050.94
2664,3289.02
2665,5758.05
2666,4417.44
2667,5166.37
2668,6763.2
2669,4856.2
2670,4570.43
2671,4884.37
2672,5223.43
2673,6737.2
2674,5137.44
2675,6196.34
2676,3231.56
2677,5407.81
2678,3891.91
2679,5415.52
2680,3699.86
2681,5330.53
2682,4511.32
2683,7248.63
2684,7858.05
2685,6742.66
2686,8358.57
2687,2896.68
2688,7095.85
2689,5261.66
2690,6704.12
2691,16047.68
2692,5282.75
2693,9657.97
2694,6849.01
2695,8053.48
2696,3479.69
2697,4833.93
2698,12251.35
2699,10207.69
2700,6023.95
2701,8514.42
2702,10595.34
2703,10926.49
2704,6422.37
2705,6120.48
2706,7803.06
2707,5753.46
2708,3838.36
2709,6491.91
2710,13860.65
2711,4493.96
2712,4084.32
2713,8691.36
2714,4899.64
2715,6128.97
2716,3093.18
2717,11283.95
2718,4553.37
2719,8246.37
2720,4011.92
2721,10166.74
2722,2907.98
2723,7838.51
2724,7719.01
2725,3248.2
2726,3493.51
2727,7665.81
2728,13989.71
2729,3512.02
2730,7271.23
2731,4919.06
2732,9448.65
2733,13808.03
2734,5002.3
2735,4487.93
2736,2694.17
2737,5530.64
2738,8060.45
2739,4523.29
2740,5446.0
2741,5855.96
2742,4167.95
2743,15563.34
2744,9653.92
2745,4124.61
2746,4205.64
2747,5178.77
2748,9069.2
2749,5119.94
2750,7373.68
2751,3680.79
2752,6320.1
2753,7058.1
2754,4295.56
2755,3151.46
2756,5867.95
2757,3834.75
2758,6625.74
2759,5148.49
2760,10212.99
2761,8834.42
2762,4520.79
2763,6373.87
2764,5548.65
2765,5392.26
2766,9907.86
2767,6105.92
2768,4276.8
2769,4102.99
2770,10233.67
2771,4662.69
2772,4847.48
2773,6154.59
2774,5519.0
2775,7959.11
2776,7169.11
2777,6085.6
2778,9472.48
2779,4947.41
2780,8585.44
2781,7510.09
2782,5012.21
2783,8966.56
2784,7004.71
2785,6506.84
2786,3702.86
2787,3360.03
2788,6628.63
2789,9317.35
2790,6168.25
2791,3958.67
2792,5018.64
2793,8725.52
2794,9052.44
2795,9605.69
2796,4378.38
2797,4930.05
2798,6205.87
2799,10697.27
2800,4092.43
2801,5514.74
2802,6056.18
2803,5783.58
2804,6554.1
2805,6395.52
2806,3645.96
2807,6039.27
2808,6697.74
2809,7757.64
2810,3317.59
2811,8047.16
2812,3193.16
2813,8026.17
2814,6163.09
2815,4409.91
2816,8190.18
2817,7506.4
2818,5768.88
2819,7825.93
2820,6265.37
2821,6910.41
2822,9552.67
2823,7248.08
2824,4864.25
2825,5555.82
2826,7258.15
2827,7818.71
2828,13268.13
2829,5886.71
2830,7527.5
2831,2642.61
2832,2400.87
2833,3147.38
2834,6902.25
2835,6799.68
2836,5594.62
2837,3690.28
2838,5564.09
2839,6202.37
2840,6049.4
2841,4631.56
2842,4371.07
2843,8921.03
2844,4485.19
2845,6957.27
2846,7286.66
2847,6149.63
2848,10521.23
2849,4328.67
2850,4678.67
2851,3928.28
2852,1888.75
2853,2822.2
2854,6707.18
2855,5765.66
2856,9122.32
2857,5434.87
2858,3011.32
2859,7971.68
2860,1898.84
2861,9581.1
2862,4185.6
2863,7454.56
2864,8411.74
2865,4868.63
2866,5315.52
2867,4115.44
2868,2918.35
2869,3152.91
2870,7122.91
2871,9370.58
2872,10002.84
2873,4371.54
2874,4594.61
2875,6965.87
2876,7559.81
2877,3468.81
2878,2732.88
2879,7087.78
2880,7314.85
2881,4597.28
2882,4492.3
2883,6075.65
2884,3871.64
2885,7174.54
2886,4123.08
2887,4959.79
2888,3419.12
2889,6938.73
2890,3910.73
2891,4958.02
2892,4070.06
2893,6630.71
2894,5055.2
2895,3536.42
2896,5753.71
2897,6331.56
2898,5751.63
2899,4647.3
2900,2553.53
2901,3003.86
2902,4765.92
2903,2245.24
2904,6160.77
2905,8060.24
2906,6197.66
2907,4962.63
2908,6619.14
2909,5423.78
2910,3999.06
2911,11323.42
2912,4487.47
2913,7839.44
2914,9030.34
2915,5736.45
2916,4732.63
2917,9958.23
2918,6327.13
2919,3661.64
2920,5945.07
2921,8870.97
2922,5299.93
2923,7134.68
2924,3258.4
2925,5247.52
2926,10756.31
2927,7581.08
2928,6718.66
2929,5449.51
2930,6372.8
2931,5502.89
2932,3579.48
2933,8864.51
2934,6499.44
2935,3976.56
2936,5043.71
2937,9239.1
2938,6809.87
2939,6739.15
2940,6629.11
2941,4553.27
2942,6454.12
2943,6349.66
2944,2881.98
2945,5446.65
2946,6269.8
2947,13392.01
2948,7949.26
2949,7654.64
2950,8735.32
2951,10205.59
2952,5513.46
2953,4954.74
2954,3875.0
2955,6304.64
2956,5170.83
2957,6499.61
2958,6233.09
2959,4448.53
2960,5546.32
2961,5311.08
2962,4970.14
2963,3865.22
2964,11088.8
2965,3216.12
2966,2358.79
2967,5410.78
2968,3824.26
2969,7286.11
2970,4396.18
2971,8169.74
2972,4092.69
2973,4383.5
2974,4993.15
2975,5869.76
2976,6017.39
2977,9889.81
2978,6353.34
2979,4820.39
2980,5129.42
2981,4738.3
2982,4167.58
2983,4958.83
2984,5693.8
2985,11674.46
2986,5242.07
2987,8713.49
2988,5920.03
2989,10024.35
2990,4317.16
2991,5344.25
2992,4501.5
2993,3951.11
2994,7560.43
2995,4953.83
2996,4838.04
2997,4354.98
2998,7912.48
2999,5331.75
3000,4225.0
3001,4934.1
3002,5588.89
3003,3534.05
3004,10323.57
3005,6807.28
3006,4483.49
3007,5487.77
3008,7367.84
3009,5688.22
3010,4153.6
3011,4951.12
3012,6470.36
3013,3129.9
3014,5149.04
3015,4670.58
3016,8841.84
3017,6521.68
3018,7561.7
3019,6310.66
3020,7695.35
3021,9281.01
3022,4476.56
3023,5320.85
3024,4241.2
3025,5777.7
3026,10429.14
3027,7408.02
3028,12205.48
3029,7491.59
3030,5560.62
3031,9301.3
3032,5203.64
3033,5261.36
3034,5213.66
3035,8160.6
3036,5435.92
3037,6069.35
3038,4614.67
3039,5837.62
3040,5294.96
3041,6677.83
3042,6346.96
3043,4617.56
3044,4342.73
3045,5517.25
3046,5739.3
3047,7231.12
3048,4277.88
3049,6598.6
3050,4639.78
3051,6734.81
3052,7596.79
3053,6771.29
3054,5933.87
3055,8971.38
3056,5007.54
3057,5653.32
3058,8595.36
3059,4149.44
3060,9571.01
3061,7977.68
3062,3619.12
3063,5365.98
3064,6773.74
3065,12154.92
3066,5761.02
3067,7556.75
3068,5988.69
3069,7077.17
3070,9447.9
3071,5749.26
3072,5306.08
3073,7461.68
3074,13434.85
3075,17102.2
3076,8118.74
3077,8980.6
3078,5125.57
3079,6247.01
3080,4386.65
3081,8751.48
3082,8122.73
3083,5172.28
3084,8513.16
3085,6150.81
3086,8648.51
3087,8278.76
3088,4871.25
3089,3832.46
3090,7825.22
3091,9940.64
3092,4722.43
3093,9138.83
3094,3993.5
3095,7549.76
3096,5239.31
3097,6783.23
3098,6424.65
3099,5087.46
3100,4647.56
3101,5736.52
3102,5297.35
3103,6681.55
3104,6673.82
3105,8125.01
3106,5106.28
3107,7029.08
3108,4813.35
3109,7359.17
3110,11571.13
3111,7280.07
3112,3903.02
3113,7768.56
3114,8830.83
3115,9130.81
3116,4785.21
3117,7055.44
3118,5681.53
3119,5347.55
3120,5325.25
3121,6145.73
3122,10731.78
3123,5549.44
3124,5091.71
3125,5425.76
3126,4542.16
3127,6272.8
3128,7747.59
3129,4979.1
3130,7181.2
3131,5764.22
3132,3271.01
3133,7741.88
3134,7464.48
3135,6776.52
3136,6257.52
3137,5699.47
3138,5308.84
3139,7891.43
3140,4368.66
3141,4722.31
3142,3019.51
3143,10715.5
3144,4468.05
3145,3337.57
3146,7784.57
3147,5009.2
3148,5228.43
3149,5125.18
3150,3843.64
3151,4098.4
3152,3971.95
3153,6500.21
3154,6362.45
3155,6825.11
3156,9074.39
3157,5457.83
3158,6240.43
3159,4483.87
3160,6117.12
3161,4831.34
3162,4387.84
3163,2496.45
3164,7134.89
3165,5750.59
3166,4802.8
3167,4800.49
3168,5960.35
3169,6986.7
3170,4280.1
3171,8124.21
3172,10028.99
3173,4638.93
